,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,53.313,55.797,53.17,55.584,55.584,51.735,52.613,52.417,52.553,52.898,53.637,53.649,53.207,53.311,53.686,53.249,53.199,53.394,53.327,53.094,53.611,53.172,52.943,53.232,53.339,53.304,53.07,53.501,53.396,53.171,53.073,53.24,53.125,53.189,53.302,53.199,53.233,53.091,53.251,53.168,53.326,53.216,53.09,53.294,53.294,53.2,53.146,53.154,53.213,53.194,53.194,53.254,53.211,53.169,53.169,53.174,53.257,53.204,53.196,53.095,53.144,53.24,53.173,53.254,53.12,53.196,53.196,53.177,53.112,53.166
1,-112.07,-115.88,-113.53,-115.99,-115.99,-112.34,-113.04,-112.87,-112.97,-113.28,-113.84,-114.09,-113.6,-113.65,-113.94,-113.65,-113.67,-113.81,-113.69,-113.47,-113.92,-113.51,-113.35,-113.6,-113.73,-113.67,-113.49,-113.85,-113.76,-113.56,-113.47,-113.64,-113.52,-113.56,-113.64,-113.57,-113.62,-113.47,-113.64,-113.53,-113.69,-113.61,-113.49,-113.69,-113.69,-113.56,-113.54,-113.54,-113.6,-113.57,-113.57,-113.62,-113.6,-113.54,-113.54,-113.55,-113.64,-113.59,-113.58,-113.49,-113.53,-113.62,-113.56,-113.63,-113.5,-113.58,-113.58,-113.56,-113.5,-113.56
2,-10.427,-10.605,-10.525,-10.444,-10.444,-10.242,-10.434,-10.38,-10.417,-10.45,-10.629,-10.39,-10.435,-10.488,-10.58,-10.434,-10.364,-10.415,-10.473,-10.463,-10.519,-10.495,-10.424,-10.461,-10.446,-10.471,-10.411,-10.486,-10.472,-10.447,-10.433,-10.435,-10.435,-10.459,-10.492,-10.461,-10.447,-10.453,-10.441,-10.466,-10.472,-10.439,-10.434,-10.441,-10.441,-10.471,-10.435,-10.444,-10.447,-10.455,-10.455,-10.467,-10.447,-10.461,-10.461,-10.454,-10.453,-10.446,-10.444,-10.436,-10.451,-10.453,-10.448,-10.46,-10.45,-10.449,-10.449,-10.448,-10.449,-10.436
3,-0.13423,-0.13517,-0.13424,-0.13708,-0.13708,-0.1296,-0.13358,-0.13725,-0.13329,-0.13828,-0.1376,-0.13402,-0.13445,-0.13468,-0.1369,-0.13513,-0.13358,-0.13391,-0.1354,-0.13517,-0.13725,-0.13642,-0.13536,-0.13644,-0.13558,-0.13693,-0.13541,-0.13581,-0.13537,-0.13619,-0.1353,-0.13511,-0.13565,-0.13613,-0.13703,-0.13611,-0.13544,-0.13604,-0.13544,-0.1356,-0.13556,-0.13545,-0.13511,-0.13499,-0.13499,-0.13609,-0.13523,-0.13527,-0.13554,-0.13554,-0.13554,-0.13582,-0.13527,-0.1356,-0.1356,-0.13559,-0.13557,-0.1355,-0.13532,-0.1352,-0.13559,-0.13536,-0.13549,-0.13565,-0.13534,-0.13541,-0.13541,-0.13544,-0.13556,-0.13521
4,-9.2463e-05,-9.5217e-05,-9.948e-05,-0.00010187,-0.00010187,-9.3504e-05,-9.8243e-05,-0.00010216,-9.9367e-05,-0.00010011,-0.00010124,-9.7521e-05,-9.8113e-05,-9.8252e-05,-9.9611e-05,-9.8201e-05,-9.755e-05,-9.8174e-05,-9.8939e-05,-9.9235e-05,-0.00010103,-9.9332e-05,-9.85e-05,-0.00010032,-9.8861e-05,-9.9976e-05,-9.9259e-05,-9.9297e-05,-9.8776e-05,-9.9154e-05,-9.8903e-05,-9.8939e-05,-9.8955e-05,-9.981e-05,-0.00010013,-9.9407e-05,-9.9104e-05,-9.9546e-05,-9.8997e-05,-9.906e-05,-9.9178e-05,-9.9294e-05,-9.8834e-05,-9.8359e-05,-9.8359e-05,-9.9651e-05,-9.8826e-05,-9.8866e-05,-9.9177e-05,-9.8918e-05,-9.8918e-05,-9.9265e-05,-9.8847e-05,-9.9296e-05,-9.9296e-05,-9.9073e-05,-9.9193e-05,-9.8907e-05,-9.8973e-05,-9.8911e-05,-9.9088e-05,-9.894e-05,-9.906e-05,-9.9252e-05,-9.8798e-05,-9.9027e-05,-9.9027e-05,-9.8915e-05,-9.9091e-05,-9.8787e-05
5,7.8936,8.1412,7.9805,8.011,8.011,8.0191,7.9531,7.9721,7.9744,7.9661,7.9686,7.9622,7.9603,7.963,7.9669,7.9626,7.9624,7.9654,7.9665,7.9656,7.9664,7.9649,7.9654,7.9654,7.9649,7.9653,7.9655,7.9649,7.9653,7.9657,7.9653,7.9651,7.9654,7.9656,7.9654,7.9653,7.9654,7.9655,7.9654,7.9653,7.9654,7.9653,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654
6,1.0584,0.80378,0.96827,0.93048,0.93048,0.92636,0.9495,0.93222,0.9255,0.92793,0.92624,0.9258,0.92879,0.93223,0.93011,0.93268,0.93167,0.92975,0.92997,0.93057,0.93045,0.93055,0.93056,0.9301,0.93049,0.93054,0.93013,0.93061,0.93037,0.93029,0.93039,0.93048,0.93024,0.93025,0.93032,0.93039,0.93031,0.93015,0.93031,0.93032,0.93035,0.93035,0.93035,0.93034,0.93034,0.93031,0.93031,0.93038,0.93033,0.9303,0.9303,0.93032,0.93036,0.93033,0.93033,0.93032,0.93033,0.93034,0.93032,0.93032,0.93031,0.93032,0.93034,0.93033,0.93033,0.93033,0.93033,0.93034,0.93032,0.9303
7,0.043458,0.038807,0.034036,0.033828,0.033828,0.028075,0.032968,0.0292,0.033503,0.028492,0.02849,0.029773,0.029311,0.0281,0.029885,0.028445,0.02808,0.028435,0.028399,0.0295,0.028954,0.028594,0.028985,0.029039,0.028642,0.028772,0.028775,0.028809,0.028907,0.028806,0.028911,0.02877,0.02886,0.028902,0.028788,0.028782,0.02885,0.028932,0.02885,0.02883,0.02883,0.028833,0.028846,0.028824,0.028824,0.028831,0.028825,0.028845,0.028822,0.028844,0.028844,0.028836,0.028836,0.028823,0.028823,0.02883,0.028831,0.028829,0.028838,0.02883,0.028832,0.028831,0.028844,0.028832,0.028837,0.028836,0.028836,0.028834,0.028835,0.028829
8,0.018029,0.0076629,0.019901,0.018101,0.018101,0.025562,0.01882,0.02335,0.016555,0.023166,0.022612,0.021929,0.022077,0.023944,0.021816,0.023511,0.023647,0.023136,0.023329,0.02204,0.022595,0.023024,0.022536,0.022439,0.022963,0.022821,0.022775,0.02271,0.02261,0.022747,0.022669,0.022779,0.022639,0.022625,0.022732,0.022757,0.022718,0.022586,0.022685,0.022702,0.022703,0.022685,0.022664,0.0227,0.0227,0.022686,0.022695,0.022674,0.022688,0.022677,0.022677,0.022688,0.022678,0.022683,0.022683,0.022691,0.022684,0.022688,0.022688,0.022692,0.022684,0.022687,0.022673,0.022683,0.022687,0.022683,0.022683,0.022684,0.022687,0.022692
9,0.00020122,-0.00027265,-0.00044074,-0.00014366,-0.00014366,-0.00043838,-0.00013212,-0.00020249,0.00043464,0.00036817,0.001172,0.00016086,0.00056315,0.0013322,0.00021662,-2.993e-05,0.00098472,0.0011387,0.00076606,0.0013336,0.00052985,0.00089037,0.00091558,0.001144,0.0011125,0.00088493,0.0012365,0.001182,0.00082755,0.0015191,0.00076439,0.0013772,0.0011665,0.0010948,0.0012244,0.0012175,0.0007232,0.0010867,0.0011414,0.0013413,0.0011652,0.001424,0.0012881,0.0015084,0.0015084,0.0014994,0.0013003,0.001424,0.0014915,0.001478,0.001478,0.0013912,0.0014763,0.0013966,0.0013966,0.0013723,0.0013977,0.0013818,0.001231,0.0013242,0.0014531,0.0013136,0.0013418,0.0014041,0.0013616,0.0014411,0.0014411,0.0013572,0.0014316,0.0013891
